message,class
Congratulations on your promotion! You deserve it.,0
URGENT: Your bank account has been compromised. Update your details now.,1
Reminder: Meeting at 10 AM tomorrow. Don't forget to prepare your presentation.,0
Lose weight quickly with our new miracle product. Order now!,1
Reminder: Meeting at 10 AM tomorrow. Don't forget to prepare your presentation.,0
Enlarge your assets with our revolutionary enhancement pills.,1
You've been selected for a special promotion. Claim your reward now.,1
Happy birthday! Wishing you all the best on your special day.,0
The weather is fantastic today. Perfect for a picnic!,0
Received your payment. Thank you for your prompt response.,0
I'll be there in 10 minutes. See you soon!,0
Make money fast! Join our program now and start earning today.,1
Make money fast! Join our program now and start earning today.,1
The weather is fantastic today. Perfect for a picnic!,0
I'll be there in 10 minutes. See you soon!,0
Reminder: Meeting at 10 AM tomorrow. Don't forget to prepare your presentation.,0
Your account has been suspended. Click the link to verify your information.,1
Enlarge your assets with our revolutionary enhancement pills.,1
Your account has been suspended. Click the link to verify your information.,1
Lose weight quickly with our new miracle product. Order now!,1
Thanks for your email. I'll get back to you as soon as possible.,0
I'll be there in 10 minutes. See you soon!,0
Hey! How are you doing? Let's catch up soon.,0
Thanks for your email. I'll get back to you as soon as possible.,0
Your account has been suspended. Click the link to verify your information.,1
Reminder: Meeting at 10 AM tomorrow. Don't forget to prepare your presentation.,0
Congratulations on your promotion! You deserve it.,0
The weather is fantastic today. Perfect for a picnic!,0
Hey! How are you doing? Let's catch up soon.,0
Happy birthday! Wishing you all the best on your special day.,0
Congratulations on your promotion! You deserve it.,0
URGENT: Your bank account has been compromised. Update your details now.,1
Lose weight quickly with our new miracle product. Order now!,1
Thanks for your email. I'll get back to you as soon as possible.,0
Limited time offer! Get 50% off on all products. Shop now!,1
Don't miss out on this exclusive opportunity. Join our VIP club today!,1
Limited time offer! Get 50% off on all products. Shop now!,1
URGENT: Your bank account has been compromised. Update your details now.,1
Limited time offer! Get 50% off on all products. Shop now!,1
Happy birthday! Wishing you all the best on your special day.,0
Reminder: Meeting at 10 AM tomorrow. Don't forget to prepare your presentation.,0
Hey! How are you doing? Let's catch up soon.,0
I'll be there in 10 minutes. See you soon!,0
Received your payment. Thank you for your prompt response.,0
You've been selected for a special promotion. Claim your reward now.,1
Your package is waiting for delivery. Click to track your shipment.,1
Your package is waiting for delivery. Click to track your shipment.,1
Looking forward to seeing you at the party tonight.,0
Looking forward to seeing you at the party tonight.,0
Received your payment. Thank you for your prompt response.,0
Don't miss out on this exclusive opportunity. Join our VIP club today!,1
Enlarge your assets with our revolutionary enhancement pills.,1
Congratulations on your promotion! You deserve it.,0
Happy birthday! Wishing you all the best on your special day.,0
Looking forward to seeing you at the party tonight.,0
Don't miss out on this exclusive opportunity. Join our VIP club today!,1
Don't miss out on this exclusive opportunity. Join our VIP club today!,1
Hey! How are you doing? Let's catch up soon.,0
Hey! How are you doing? Let's catch up soon.,0
You've been selected for a special promotion. Claim your reward now.,1
Looking forward to seeing you at the party tonight.,0
Limited time offer! Get 50% off on all products. Shop now!,1
Received your payment. Thank you for your prompt response.,0
Happy birthday! Wishing you all the best on your special day.,0
Received your payment. Thank you for your prompt response.,0
Looking forward to seeing you at the party tonight.,0
Congratulations! You've won a free cruise. Click here to claim your prize!,1
Your account has been suspended. Click the link to verify your information.,1
Thanks for your email. I'll get back to you as soon as possible.,0
Happy birthday! Wishing you all the best on your special day.,0
Lose weight quickly with our new miracle product. Order now!,1
You've been selected for a special promotion. Claim your reward now.,1
Don't miss out on this exclusive opportunity. Join our VIP club today!,1
Don't miss out on this exclusive opportunity. Join our VIP club today!,1
Congratulations! You've won a free cruise. Click here to claim your prize!,1
Reminder: Meeting at 10 AM tomorrow. Don't forget to prepare your presentation.,0
Hey! How are you doing? Let's catch up soon.,0
Your account has been suspended. Click the link to verify your information.,1
Congratulations on your promotion! You deserve it.,0
Happy birthday! Wishing you all the best on your special day.,0
Happy birthday! Wishing you all the best on your special day.,0
Just finished reading a great book. I highly recommend it.,0
Make money fast! Join our program now and start earning today.,1
Limited time offer! Get 50% off on all products. Shop now!,1
Received your payment. Thank you for your prompt response.,0
Reminder: Meeting at 10 AM tomorrow. Don't forget to prepare your presentation.,0
URGENT: Your bank account has been compromised. Update your details now.,1
URGENT: Your bank account has been compromised. Update your details now.,1
Limited time offer! Get 50% off on all products. Shop now!,1
Looking forward to seeing you at the party tonight.,0
Congratulations on your promotion! You deserve it.,0
URGENT: Your bank account has been compromised. Update your details now.,1
Received your payment. Thank you for your prompt response.,0
Make money fast! Join our program now and start earning today.,1
The weather is fantastic today. Perfect for a picnic!,0
Received your payment. Thank you for your prompt response.,0
Happy birthday! Wishing you all the best on your special day.,0
Reminder: Meeting at 10 AM tomorrow. Don't forget to prepare your presentation.,0
I'll be there in 10 minutes. See you soon!,0
Received your payment. Thank you for your prompt response.,0
Reminder: Meeting at 10 AM tomorrow. Don't forget to prepare your presentation.,0
